Site;Termo;Título;Preço Total;Fator Calculado;Preço Ref (Kg/Un);Link
Mercado Livre;Carnibol Baunilha;Carnibol Proteina Isolado Baunilha 1.8kg - Darkness;256.0;1.0;256.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=AVBe0RBYyog06W%2BcRcDOD%2BvVhoiH6sXYokMtHsR%2B3hv4JAH%2FsvTsgyZ5GfnNEteHseJuIVPpiIAZFDLCdOrag3M0gpW%2BxESmlMBm6GprAilbXJTeZN2mLFtif%2Bd4LeFXW040brwFyUzhCTT10w0VuI%2FzAwYNCoCWU0YqUVW%2B0bFUeps3wGEMxvvZR8cC4lGZiaW6vdih7l2ULknddR65nfcuz%2F3DBuFON7rtMoOq5U9MTzJuomkYZzXiAaHTOR3gHcoupf4P3YVmXbj2aZkaQtMwirczwTXFupgGfwczmCotXu80zD1T5EMVpKRBy5deJ2JNHpg%2BDIaqwYTsLUCBuebFOuUJp3ufIPGEohmG%2FmRjrQ0RquxXvSvnT47sB%2B0VnnY9LTLGlVIQ3HVZh4heVjooZsbjFuD6ehVcFJGuJQIlvHMbnj5TA1IbD2OJiUCV4crlV4VxsqnZgtDN67TSvP%2BT4aCZMUWiHd4JEGwc4B%2Fv9IGWCu%2Br9LMLiI%2Fua8efzt%2ByhnmNFimbQJl%2BIBfu6%2FbhbqYgY0xvU4UxTyFjNGQkKfm1mgwL2%2F7lm1YHMkk9hMJKOA06Fa67S%2FVwX1GwRh89pVcsd1V08w4QFXkRq8b0bHOyiaDNnVFW6jp%2F6ernmq9nIX5E9RaPDEV857gwyFJflvdGK5MB%2FGKJtSxxDo30d5ScIegbLP6%2FFHSA4XWt%2F9GGvBEVaLQD0KWk6UQeR7ZprBUMRPWD6FIWZuL2ObxVyQ83vNQ6K%2FCpvUXpYOxdib1zaFQB1ryvuGFtkL1eyk5ng64m0y2bJKK5m53W1qgfRPuxYe2m5%2BL5afF5ZlSmRUsdEas7RQWc6C2tcvgTaAx%2FOjhuSYAdJVJL89kVZkvH5SXnoXLfTEDDLiO%2B%2BIuuU916tnpAVT8zvn3fMf1qMs1uoWZ9uVpBAyMHhu53Bz5VBWkw47DbOuswg6gQwdMRxp8QPRqs8pkLtck%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB49055772&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4056484835&sid=search
Mercado Livre;Carnibol Baunilha;Kit Carnibol Isolado Baunilha 1.8kg Coqueteleira - Darkness;264.0;1.0;264.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2Fx6vla8eaPkDC5vJ40s0PK1ZrDUMnfz8oQ%2FXSW0SJjTZmtn6lU%2BusW%2Fglb4MuIcxUnhF%2F2gwXw7ClhB840gxAATPofoGHnywR5X%2Fm9u0nvbCoertKMKSFjAj3qnH4%2F8fuLFflhSesgebwx6CD7alKwkVsGpHuKeGksLpTo55et%2FiV4jm4gjzaAU4B%2Fva4%2BKVmQGSgxmCv0lUzuhy4TzA8jt648%2BHtzjg7wzXWpFmnfRDBPLfszh7s5DROPDNAe%2BpLCN3dOKIe%2BiEqgnNq9yYPgaB6UKQ7XmBexTlb1bhW9ReF%2FJugKB24Wxgf%2F%2FlrU5hdiJbrbk643ExVqmK6HsulhqzwvlWMuUC85VqLwjDkpnPsLABx3xFoMIRQj4Z7RMIDMpoMCDKwS4b2lOQpKn5xy5f6QMapEzM25DaWEqTlamPj5lpgC1Cw8O%2FZaz3VGHh8dzen80iWy1%2BL9sK%2FhGLnzofnieC3QiL3p6jzW94ISINX0cZ4%2FYwhzT3kPaDMpDmNvcHGKAxpL6QuLwROLCthP2HZg6O67rifdYUfQqE%2BYuJqzqZaewHJVaDNLBoEnIvSxzFcqtiVXoA%2FfCtUhrYf0FG584pe41xpWvKbvTjsaxr%2B23RhT340IN4ovALNMW1I%2FrUbk0sCTLiXtIKkR4HeX20YZ3jFf2xkqS2Ew3KyPyabXvMBJU1m3gDV6jLsOkPEzLe%2Frv%2BV8ia1NfUbGG92ZhOkBcwmG9hXae0dwKG3CCUI1iwiZnOFGLlzzaeRdPZ1qjhztMIP3dK4GgkUu2nM2WbKsiNTTF66F6FSrzgSv31sZpq42VsL8p2iQSDDb2FyfFXPNGK7vWKrLHm%2BSNFgxjR3k0yMRG6LzSZP7oxOPhreBm6dFoARwIxd1992zfhW%2Bs0hhmCF9%2B%2FW%2BtldNufXgSvu6zbENixP4KV5t1CDGFkO%2B%2FIC9NSabfNm6hocZQZCCyA12wPoHCm2O4pqaGequ20qg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB49487236&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5484175880&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Darkness Integralmédica Sabor Baunilha 900g;132.0;1.0;132.0;https://www.mercadolivre.com.br/carnibol-darkness-integralmedica-sabor-baunilha-900g/p/MLB36625592#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5342549130&sid=search
Mercado Livre;Carnibol Baunilha;Whey Proteína de Carne Carnibol Baunilha 900g Darkness;139.0;1.0;139.0;https://www.mercadolivre.com.br/whey-proteina-de-carne-carnibol-baunilha-900g-darkness/p/MLB36952317#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3905053203&sid=search
Mercado Livre;Carnibol Baunilha;Whey Carnibol Proteína Da Carne 907g Integralmédica Darkness Sabor Baunilha;140.0;1.0;140.0;https://www.mercadolivre.com.br/whey-carnibol-proteina-da-carne-907g-integralmedica-darkness-sabor-baunilha/p/MLB50008608#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4062726607&sid=search
Mercado Livre;Carnibol Baunilha;Whey Proteína de Carne Carnibol Blueberry 900g Darkness;129.0;1.0;129.0;https://www.mercadolivre.com.br/whey-proteina-de-carne-carnibol-blueberry-900g-darkness/p/MLB36103587#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3905066303&sid=search
Mercado Livre;Carnibol Baunilha;Combo 2x Carnibol + 2x Coqueteleira - Darknes Integralmedica;618.0;1.0;618.0;https://www.mercadolivre.com.br/combo-2x-carnibol-2x-coqueteleira-darknes-integralmedica/p/MLB46564805#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5305731452&sid=search
Mercado Livre;Carnibol Baunilha;Proteína Da Carne Carnibol - Darkness (907g) Integralmedica Sabor Baunilha;156.0;1.0;156.0;https://www.mercadolivre.com.br/proteina-da-carne-carnibol-darkness-907g-integralmedica-sabor-baunilha/p/MLB39957269#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4029926619&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Proteina Isolado Baunilha 1.8kg - Darkness;256.0;1.0;256.0;https://www.mercadolivre.com.br/carnibol-proteina-isolado-baunilha-18kg-darkness/p/MLB49055772#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4056484835&sid=search
Mercado Livre;Carnibol Baunilha;Kit Carnibol Isolado Baunilha 1.8kg Coqueteleira - Darkness;264.0;1.0;264.0;https://www.mercadolivre.com.br/kit-carnibol-isolado-baunilha-18kg-coqueteleira-darkness/p/MLB49487236#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5484175880&sid=search
Mercado Livre;Carnibol Baunilha;Kit 2 Carnibol Proteina Isolado Baunilha 1.8kg - Darkness;522.0;2.0;261.0;https://www.mercadolivre.com.br/kit-2-carnibol-proteina-isolado-baunilha-18kg-darkness/p/MLB49487430#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5452731780&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Proteína Da Carne Isolada 900g - Integralmedica;144.0;1.0;144.0;https://produto.mercadolivre.com.br/MLB-1891200852-carnibol-proteina-da-carne-isolada-900g-integralmedica-_JM?searchVariation=183123501047#polycard_client=search-desktop&searchVariation=183123501047&search_layout=grid&position=12&type=item&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b
Mercado Livre;Carnibol Baunilha;Carnibol Proteína Carne Isolado Hidro 1,8kg - Integralmédica;310.0;1.0;310.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hrQXQcl078OH8Z9xoX8%2BtLO77oWNb4OjqbBjnzUORO3YIunJ1nig7AR58GPz7dyPNWQ1w7U4RSJxNvcPYsWm8Df6QHqx%2BVYMMH6ZxxaQ7BWf0HrWvmhOQfhKoITNO%2B%2B2lzHSqc1mQGNa1%2FyaLWyNzh9%2BFORVygX6br%2BR6BQz4XpFuigtPskGrW3xw2nFTTzUtDIu4ZfC4%2B%2BvQQwUZtw0fGKXd9C3nXr8sePbj9VGupU5SgBmKIMsE87mWKD3r8LSyjP1Y3OyA2YBLNG3g%2B4M6lwJqU6RUbnQVrfrksr55TFb8oLY1Sz36wcMI4pptXdRh42%2FfPISmEeHVd0q0qzDCE4XX0JgGK8zaV5Q%2Bj%2FBC%2BPQ8L5oRnqnRr%2FftFTQ%2Fw95v6E219CZKqQprHYglH0HIhFt8%2B1YNCpSdBrVPnuK1l3uIUbs%2FmpiCQVLtXh6otrOZQYTs3AL3lPrbmrWp94M6DB9qvlQnP7iGlNKc904TrHD28Ij81iNtkwSvV5rC2Nv8C1Ve6bdgJTLFfe15zM0H0wIJSlfVQFHLC8rbBlQ%2FLZM9k4Zr6t4Hz3P0%2BiXK%2BPKG3VbqiqKTkvt8HKWalZespQsjIXixtp%2BxOH7fcs5bRXWw3ljJIoVWb1s01EPY73cpqtlTEGRRveVag2kChAPC8s86zygwsRvUJHfyGYpB9z%2FUJzaaOt59DQDAHsgJWdeopNpNzEWQvXd1yNiq9fxq9FdxTH2AswwEjPOODvE4aaGnB%2BoJFB2TvVkCT36hOTFAFQOtwfPud6hG8ByvYARs4RKl5aZzsap3IIKAvtP1Nw0mlgLQv0jmwJXH%2BwI9h%2F00zgu6Anr5e3FH8a172zsDG74RHUbpju%2BnwpbPQXyehAWzNCibYWhNGYAL6zuyAyxHXPC3QBy%2BAKVXxU9EraErEC6OpwnLHmkYIfcZD78lY4svDBeGb2hkT3C3IYZPG4mZHy7yvXpIK18H0bdEurnNusPIgJQsw%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB32431387&backend_model=search-backend&search_layout=grid&position=13&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3721480231&sid=search
Mercado Livre;Carnibol Baunilha;Whey Proteína de Carne Carnibol Blueberry 900g Darkness;129.0;1.0;129.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mhQJq%2Fn97ewMBUP9v7jMVu21REwZkhvL9ptLQVckfcheOIIiEh5%2Fazbg4f1eCAZjqRpyU8AvwGmfK%2F0emhIsECqwvryJu%2BNDvK24OSssG5JwLiCQ%2FlgROnlS07TTmqKg2bESBv1IMPMgpOYqX5uakrzg9HpMff%2FMviB7txpbKeVY7bX83vUcEwaF6LWCB4WhL2wpb3Ww5sUnoxBY38UoI%2F%2BbqCHcvss2f7UqhBnWFhcaXHj1y3OWoa9%2FVpl0L97EzjJdYnQZOIEjqrvIeFlbXjDHunAJcNjRV52I1bxRWPBnmlHA3HzuGoKvyxoKxsP%2Buxr22Er2Oaaba%2FeqU4dM11pjy1R6Ci6GBCK6EpwyWXNDtUXGVHsg8aMDMEt73hF0Ag5BhbTzaJIEhL4A0lH5K8lid2za8dXDvokey5dFuRRl5EeHTbGNOuFB8bbnY3bZcQWB09mb43BxYH8foSAfnl2OAhc5%2BvkYxnVTXvffd64GwJxXu6%2FdXxDDXDy9XrVYEO1ruFBSyZSotamwUt6OFiNIAGyD9dogSHoZeqCkWHsuEHXIMSeqZH92BM%2FIxN4qc%2BPaBweP0YjdldIfQxNIonbP8A0EbJrk%2FTyOwTn4YZ0a6SFKBOCkpH1q1pixslD1WuWW0bMV%2FvG%2Fwr3ZJpFKT1C4WKu8a8SSgAcKVduFBFmM6LRF%2BWL1pCUgBbZARzCgqvHG6Wd%2FEMY173gMiY3kr%2BFEiCPN4t8U3fFVIAd%2BY%2F92mL%2BJ%2FdwCStUNe2Xu7LGdON0B%2FjHW8GhPl5r9Zw%2FHvYEFpsIf7WUq0E9lKBEdNakVtZbLZDVdoIDeZjq8wM3Du0MlLRnISHA0mRmfS3eIdDMm7NIKUuIAdE8HKXc%2BISxbEXw9b6SVtVSTyQXdOy7RYBWtEL4A6AeAwesWmxKF4gfE2Jz9C769agNE1%2FBrECFSRXZsKXprOeT%2BUjGFPX6ua5PlxGTSXFX%2FYIbrmN0FytXQRvY%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB36103587&backend_model=search-backend&search_layout=grid&position=14&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3905066303&sid=search
Mercado Livre;Carnibol Baunilha;Suplemento Em Po Carnibol 1,8kg Choco Darkness Sabor Chocolate;369.0;1.0;369.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zNhkIwFlviQHSRA8FYeSldzKTqbhWJrLJcRaRr1es3B1Nh3PQrzvhF%2F4rJdsUMl2GoQifP0Ie6cfejkUkxo%2BfKwnKR4y0dqjAYLDe8rH3JzY4js7RL%2F5%2F5nteAYSlNOZorMc3ZQTdh2xSiqIGENCB6iOr8s92upm5rimQvNU4jUNGhhxbolBi6Vah9NWpT1QMo7rwF1EQqxAOcxSO7AsQ0rdJY8ZzuveLGd6UndsJuh%2F3Pf7w9ZMsz%2FNkDyeU9VjhRDxpSWfULuw0v3R4%2BGNLsPBXcj6pm8vMV8A%2FqkmdgUXldhanDxMhht73ePu96ECk3IWB2BJb2UzoqazIXRdoZ%2BxuJB5sxDzUuayQQEauPU%2Bh43pQqbaZb1QAHeJjBqbdfTWTEFcDFkECj61Jb3mlkLjDiUpXjR6TJDZYyFykCLil%2B5V6mNKtMoBQsKVQh3WJi8AFTd%2FU%2FY8NJmzgPEevxmZvqmY5NjYCYRS17tRaWT3eHGxsn6lI7lQbr%2BYq%2Flm6K3vJOWjXc7jvi9E8mYJWhqC8aRUmf5zo3bF3VA7atiZ8P7nNUy6%2B%2F8uCeyu3rOOHS%2B6Dhi5ZdowE%2BpriteS06ql6yE4vWDCeKFOVAwXLu9zI0GI5%2B5lHRxd2HXOZiFHRpCraPskXYIQS0hyYd1FpC06i%2F17Bia0aKHWb6TqL16vWM2qqM8nwwsN%2BPwbj84I8c11OlV044bwVHh1Px5F1AkeM%2Bs0e1bRXo%2BwjC1FqhqMGnRspK2UVT8KZe0g50xSU5X6INe7nqdQwBNdR6sDkVRVNliKUCEqSTIRY3BuO7%2BNhgmU0Y7QXhyLvq4L0%2BuV1s4Dt%2FEb8G0rhgDojkgdE10io2ttpoC1mtW7nABGAd2RQMqW0%2BE1%2FFrJqZjBkKFdCaPWrsESI%2Fhu1%2BjiT%2BOcANGO%2BjMpO5tVY4giEW6rpTsy1A4mJAN8s%2FYptbSaQC%2FTvtxKTx%2BkU%2FIEavaVnkli74AJmHpdzBOd#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB45703830&backend_model=search-backend&search_layout=grid&position=15&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3961014001&sid=search
Mercado Livre;Carnibol Baunilha;Whey 100% Pure 900g - Integralmédica;110.0;1.0;110.0;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=oZJ7f49lTcsU2CtI2pk3Pype0ErZuRYSmaEEbxKu6vV40OxQC3RBNvH6CbmW6x0pqHXvLCHRSQZ5vU6Y7zxAuFM8T5CNZB3InOPrZgQQO5ZZZGETgXHN4slXYmvQQZDU5OIMMserTXpi8vIBfQyO1DAE8i7zwHqZYHa%2BmdtGNV9VjqB3k1Esj0yPNUFg6fTJmQ6b0JOqHTOFBeglGLoR%2BqdhzlTqYc2c6xH39xWH3%2BfpCgKTJTzrkOnCjT3U%2Ff%2BwncyXkY%2BO%2FibWnQ8KF1TSDpukfa8jhcYGIKe8bTy3TVjvuSXlwK8FYhStQNBd2y2DM4zqwN4juluss%2BvmpTksFlytffNJj9dtEii8gCXTIA8YYV39s%2FOzic%2FfODcHt44YcsM1UdwoJeU7ilF7PN45AH371Izo7ZM2bErl1g1ObZkgv%2BFgmEMFf7WXSSSDk%2BESk%2FTBinjMLO9lCDhfj8bCl2yKeGpwp1UoQzoOjkm1%2BkAHrAAgnBTNku5Ke7k1aFpgpQPzNx8UDRrUpMPUHAyOBNAlRkPUvJICbPjH4tDeWh4kT8FfUgKXUGWCbL9ANXtBQ%2F3uCyBiT4YvjBGJstBA5%2BXFHbDbyRs1008mKPgcEZZjXsRdFgGlj%2F0e24HMSBP0Y7l0lLpIjkTKervrfcXQZuwIrkIzOzjmSFgxOELWHLrmYPtl5WZjTC6aNT2UXSvNni2pbbUhgkftkUlcrmT0MVgPTuITkw7zxQLFighNFupYZWuYCzgvLe4Ilbrm1GoypF7HpXu1utKEVZ4C3IpCPynACHQr9Zeu8%2FLQ55P58knz8nCwFGdVY7s3OG5MQjEpEgHVc26Q4CVCjjwgvvS%2B33mFMnuCLq6Fv7cf57fGB83Twv%2B94xZeGpeJ0rIicT%2F17p%2B2VLNthq6VVE1617GZVLay3Vx5aKl%2Fy7Hc2KhzykgjjDKHZaYFrvi0A7CT7w%3D%3D&searchVariation=184176058862#polycard_client=search-desktop&is_advertising=true&searchVariation=184176058862&backend_model=search-backend&search_layout=grid&position=16&type=pad&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b
Mercado Livre;Carnibol Baunilha;Proteina Carne Isolado Baunilha 900g - Darkness Baunilha;142.0;1.0;142.0;https://www.mercadolivre.com.br/proteina-carne-isolado-baunilha-900g--darkness/up/MLBU3330354368#polycard_client=search-desktop&search_layout=grid&position=17&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5525476372&sid=search
Mercado Livre;Carnibol Baunilha;Whey Carnibol Proteína Da Carne 907g Integralmédica Darkness;140.0;1.0;140.0;https://produto.mercadolivre.com.br/MLB-3452617689-whey-carnibol-proteina-da-carne-907g-integralmedica-darkness-_JM?searchVariation=187418598381#polycard_client=search-desktop&searchVariation=187418598381&search_layout=grid&position=18&type=item&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b
Mercado Livre;Carnibol Baunilha;Proteina Da Carne Carnibol 900g - Integralmedica;143.0;1.0;143.0;https://produto.mercadolivre.com.br/MLB-1503753467-proteina-da-carne-carnibol-900g-integralmedica-_JM?searchVariation=183124969625#polycard_client=search-desktop&searchVariation=183124969625&search_layout=grid&position=19&type=item&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b
Mercado Livre;Carnibol Baunilha;Whey Proteína De Carne Carnibol Baunilha 900g Darkness Baunilha;154.0;1.0;154.0;https://www.mercadolivre.com.br/whey-proteina-de-carne-carnibol-baunilha-900g-darkness/up/MLBU3730248167#polycard_client=search-desktop&search_layout=grid&position=20&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB6175463542&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Darkness Integralmédica Sabor Baunilha 900g Baunilha;149.0;1.0;149.0;https://www.mercadolivre.com.br/carnibol-darkness-integralmedica-sabor-baunilha-900g/up/MLBU3225649952#polycard_client=search-desktop&search_layout=grid&position=21&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB5419775412&sid=search
Mercado Livre;Carnibol Baunilha;Suplemento Carnibol Darkness Integralmédica 900g Promoção;149.0;1.0;149.0;https://produto.mercadolivre.com.br/MLB-5144160082-suplemento-carnibol-darkness-integralmedica-900g-promoco-_JM?searchVariation=182049542710#polycard_client=search-desktop&searchVariation=182049542710&search_layout=grid&position=22&type=item&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b
Mercado Livre;Carnibol Baunilha;Carnibol Proteina Isolado Baunilha 1.8kg - Darkness Baunilha;263.0;1.0;263.0;https://www.mercadolivre.com.br/carnibol-proteina-isolado-baunilha-18kg--darkness/up/MLBU3157372755#polycard_client=search-desktop&search_layout=grid&position=23&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB4052387247&sid=search
Mercado Livre;Carnibol Baunilha;Carnibol Proteina Carne Baunilha 900g - Integralmedica  Baunilha;170.0;1.0;170.0;https://www.mercadolivre.com.br/carnibol-proteina-carne-baunilha-900g--integralmedica/up/MLBU2333230361#polycard_client=search-desktop&search_layout=grid&position=24&type=product&tracking_id=d35fff7a-84d0-4fbd-8a33-c689f2c6093b&wid=MLB3751774109&sid=search
